Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Temperature,Humidity
2017-01-01,Albury,15.5,31.6,0.0,,,WSW,39.0,E,W,9.0,24.0,63.0,25.0,1005.1,1004.1,,,23.4,31.4,No,No,30,70
2017-01-01,BadgerysCreek,21.6,28.4,0.0,,,SW,33.0,NNE,NNW,4.0,7.0,80.0,65.0,1007.4,1005.4,,,24.0,27.6,No,No,30,70
2017-01-01,Cobar,25.6,29.5,0.6,,,S,31.0,S,SSE,11.0,13.0,,,1004.6,1004.9,8.0,7.0,26.3,28.7,No,No,30,70
2017-01-01,CoffsHarbour,22.8,28.3,0.0,,,SSW,35.0,SSE,SSE,15.0,17.0,76.0,83.0,1005.7,1004.9,,3.0,27.3,26.0,No,Yes,30,70
2017-01-01,Moree,27.3,43.0,0.0,,,SSW,48.0,N,N,26.0,17.0,39.0,22.0,1004.0,1000.4,,1.0,32.9,39.9,No,Yes,30,70
2017-01-01,Newcastle,22.8,28.0,0.0,,,,,SE,,9.0,,82.0,,,,8.0,,25.0,,No,Yes,30,70
2017-01-01,NorahHead,21.4,26.3,0.0,,,N,28.0,SSW,SSE,9.0,7.0,90.0,88.0,1007.2,1005.4,,,23.5,24.0,No,Yes,30,70
2017-01-01,NorfolkIsland,17.5,24.8,,,,ENE,28.0,ENE,E,19.0,13.0,63.0,65.0,1013.4,1012.7,8.0,8.0,22.6,22.3,,,30,70
2017-01-01,Penrith,22.2,27.8,0.0,,,SW,22.0,NNW,SW,4.0,9.0,77.0,69.0,,,,,24.0,26.9,No,Yes,30,70
2017-01-01,Richmond,22.6,28.7,0.0,7.2,,S,22.0,N,NE,2.0,13.0,76.0,67.0,1007.3,1004.9,8.0,6.0,24.4,27.4,No,No,30,70
2017-01-01,Sydney,22.7,26.6,0.0,6.8,0.0,E,24.0,E,E,9.0,19.0,70.0,70.0,1007.4,1005.5,7.0,8.0,24.6,24.9,No,No,30,70
2017-01-01,SydneyAirport,21.6,27.2,0.0,6.8,0.0,ENE,31.0,ESE,E,9.0,24.0,72.0,72.0,1007.4,1005.5,7.0,8.0,24.6,25.4,No,No,30,70
2017-01-01,WaggaWagga,15.9,31.5,,,,W,37.0,E,WNW,11.0,28.0,60.0,27.0,1005.3,1004.6,8.0,4.0,22.0,29.5,,Yes,30,70
2017-01-01,Williamtown,22.5,27.5,0.0,,,S,30.0,SSE,SSE,11.0,17.0,83.0,64.0,1006.9,1004.9,8.0,6.0,24.0,27.3,No,Yes,30,70
2017-01-01,Wollongong,20.8,24.1,0.2,,,NE,31.0,N,N,4.0,11.0,86.0,86.0,1007.4,1005.8,8.0,7.0,22.0,21.3,No,No,30,70
2017-01-01,Canberra,12.6,27.8,0.0,,,NW,37.0,N,WNW,2.0,22.0,74.0,34.0,1006.2,1004.6,1.0,8.0,21.0,26.7,No,No,30,70
2017-01-01,Tuggeranong,14.0,28.0,0.0,,,W,35.0,SSW,WNW,4.0,19.0,76.0,36.0,1006.0,1004.2,,,20.1,26.6,No,No,30,70
2017-01-01,MountGinini,12.3,17.9,0.0,,,W,43.0,W,WNW,15.0,17.0,59.0,65.0,,,,,14.4,15.6,No,No,30,70
2017-01-01,Ballarat,13.8,19.0,0.0,,,SW,41.0,SW,SW,13.0,19.0,98.0,76.0,1006.8,1008.0,7.0,8.0,14.6,17.7,No,Yes,30,70
2017-01-01,Bendigo,14.3,26.3,0.0,,,SSW,46.0,SW,WSW,2.0,24.0,71.0,44.0,1006.1,1006.0,,6.0,19.1,25.0,No,No,30,70
2017-01-01,Sale,15.9,21.9,0.0,,,W,41.0,SSW,ESE,7.0,17.0,95.0,76.0,1007.0,1006.0,7.0,8.0,16.3,21.5,No,No,30,70
2017-01-01,MelbourneAirport,15.6,21.8,0.4,8.4,2.6,SW,37.0,ENE,SSW,13.0,24.0,77.0,72.0,1005.5,1007.5,6.0,8.0,19.3,19.9,No,Yes,30,70
2017-01-01,Melbourne,16.8,21.1,0.0,8.4,2.6,SW,31.0,ENE,SSW,7.0,11.0,69.0,74.0,1005.6,1007.8,6.0,8.0,19.8,20.0,No,No,30,70
2017-01-01,Mildura,17.0,29.3,0.0,7.2,11.2,SSW,46.0,SSW,SW,17.0,20.0,63.0,37.0,1009.5,1008.6,6.0,4.0,19.5,26.6,No,No,30,70
2017-01-01,Nhil,14.7,24.8,0.0,,,SW,48.0,WSW,SW,17.0,24.0,75.0,48.0,1008.5,1008.7,,,16.7,23.5,No,No,30,70
2017-01-01,Portland,13.3,18.3,1.8,,,WSW,37.0,WSW,WSW,19.0,24.0,93.0,72.0,1008.2,1010.5,8.0,7.0,14.2,16.4,Yes,No,30,70
2017-01-01,Watsonia,16.1,22.0,0.0,8.4,2.6,WSW,37.0,SSE,WSW,11.0,15.0,77.0,73.0,1005.4,1007.2,6.0,8.0,19.0,20.8,No,Yes,30,70
2017-01-01,Dartmoor,13.7,20.3,0.4,,,SW,39.0,WSW,WSW,11.0,20.0,95.0,69.0,1008.5,1010.5,,,14.5,18.4,No,No,30,70
2017-01-01,Brisbane,24.8,34.7,0.0,9.8,12.2,NE,39.0,N,NE,7.0,13.0,55.0,62.0,1006.5,1004.3,1.0,2.0,31.4,31.6,No,No,30,70
2017-01-01,Cairns,24.1,32.9,0.0,,,ENE,33.0,SE,ENE,11.0,22.0,62.0,64.0,1004.4,1001.4,,,30.7,31.9,No,No,30,70
2017-01-01,GoldCoast,22.9,30.9,0.0,,,NNE,41.0,NNW,NNE,22.0,31.0,76.0,82.0,1006.2,1004.2,,,29.6,28.6,No,No,30,70
2017-01-01,Townsville,25.3,33.9,0.0,8.0,,ENE,37.0,ENE,ENE,11.0,30.0,58.0,61.0,1004.6,1001.5,,,31.2,31.6,No,No,30,70
2017-01-01,Adelaide,16.3,23.7,0.0,,,WSW,39.0,SW,SW,17.0,17.0,72.0,57.0,1011.9,1012.8,,,18.3,22.6,No,No,30,70
2017-01-01,MountGambier,13.7,20.2,1.2,,,SW,41.0,WSW,SW,17.0,28.0,100.0,81.0,1008.8,1011.0,8.0,8.0,15.3,18.0,Yes,No,30,70
2017-01-01,Nuriootpa,12.5,23.2,0.0,6.6,10.6,SW,43.0,SW,WSW,24.0,20.0,80.0,50.0,1010.7,1011.1,7.0,,17.3,21.5,No,No,30,70
2017-01-01,Woomera,18.5,30.1,0.0,,,SSW,57.0,S,SSW,35.0,33.0,67.0,32.0,1010.8,1010.0,,,19.9,28.7,No,No,30,70
2017-01-01,Albany,,21.8,0.0,,,,,,,,,,,1021.0,1018.8,,,,,No,No,30,70
2017-01-01,Witchcliffe,8.8,25.9,0.0,,,SSE,41.0,E,SE,13.0,24.0,59.0,45.0,1019.4,1016.2,,,18.3,23.9,No,No,30,70
2017-01-01,PearceRAAF,15.5,33.8,0.0,,13.3,E,59.0,ENE,E,24.0,13.0,43.0,15.0,1016.9,1012.2,,,22.6,32.0,No,No,30,70
2017-01-01,PerthAirport,16.1,32.8,0.0,12.6,13.3,E,57.0,E,WSW,26.0,20.0,41.0,14.0,1017.4,1012.6,0.0,0.0,22.8,32.1,No,No,30,70
2017-01-01,Perth,16.3,31.3,0.0,12.6,13.3,SE,35.0,ESE,SW,13.0,19.0,45.0,40.0,1017.2,1013.1,0.0,0.0,22.4,27.9,No,No,30,70
2017-01-01,SalmonGums,9.9,28.0,0.0,,,SE,43.0,ESE,E,9.0,15.0,65.0,32.0,,,,,16.8,25.8,No,No,30,70
2017-01-01,Walpole,9.0,22.2,0.0,,,SE,39.0,E,ESE,15.0,19.0,62.0,61.0,1020.3,1017.6,,,18.8,21.2,No,No,30,70
2017-01-01,Hobart,14.6,18.4,1.4,3.8,,SSW,44.0,ESE,SSW,9.0,9.0,89.0,90.0,1005.2,1003.8,8.0,7.0,15.6,17.3,Yes,Yes,30,70
2017-01-01,Launceston,14.8,19.6,0.0,,,NW,33.0,NW,NW,9.0,19.0,84.0,76.0,,,8.0,8.0,17.0,17.8,No,No,30,70
2017-01-01,AliceSprings,22.7,28.6,,,,SE,31.0,E,SSE,15.0,15.0,63.0,46.0,1006.5,1005.5,7.0,7.0,26.1,28.0,,No,30,70
2017-01-01,Darwin,23.2,31.7,16.8,4.8,6.3,SSW,63.0,W,W,13.0,33.0,86.0,69.0,1003.7,1000.4,7.0,7.0,25.1,31.1,Yes,Yes,30,70
2017-01-01,Katherine,22.2,29.5,50.8,19.2,,WNW,39.0,NW,WSW,19.0,15.0,96.0,,1002.4,998.4,8.0,,23.4,,Yes,Yes,30,70
2017-01-01,Uluru,22.3,36.1,0.0,,,E,37.0,SSE,E,19.0,26.0,50.0,26.0,1007.3,1005.0,1.0,,27.9,35.0,No,No,30,70
2017-01-02,Albury,14.9,32.0,0.0,,,SE,35.0,SSW,WNW,9.0,9.0,63.0,30.0,1011.1,1009.9,,,20.6,30.5,No,No,32,65
2017-01-02,BadgerysCreek,19.9,26.7,0.0,,,S,31.0,S,SE,15.0,17.0,77.0,58.0,1010.2,1011.2,,,21.6,24.7,No,No,32,65
2017-01-02,Cobar,20.0,32.0,0.0,,,S,41.0,S,SSW,20.0,20.0,,,1010.3,1009.3,,,23.1,30.2,No,No,32,65
2017-01-02,CoffsHarbour,23.8,29.3,1.8,,,,,NNW,S,7.0,30.0,87.0,83.0,1006.8,1008.3,,8.0,25.6,23.5,Yes,Yes,32,65
2017-01-02,Moree,23.8,35.6,4.0,,,S,54.0,ESE,S,13.0,22.0,80.0,44.0,1006.0,1003.8,7.0,4.0,25.7,34.1,Yes,No,32,65
2017-01-02,Newcastle,20.5,25.4,29.8,,,,,SE,,19.0,,89.0,,,,8.0,,22.0,,Yes,No,32,65
2017-01-02,NorahHead,20.7,23.9,1.2,,,SSW,52.0,SSW,S,35.0,33.0,94.0,83.0,1008.6,1011.3,,,20.9,22.4,Yes,No,32,65
2017-01-02,NorfolkIsland,17.4,25.1,,,,NE,33.0,ENE,NE,22.0,22.0,61.0,51.0,1014.5,1013.1,,,23.1,23.2,,No,32,65
2017-01-02,Penrith,21.1,26.1,2.4,,,SE,31.0,S,ESE,13.0,13.0,79.0,61.0,,,,,22.1,24.6,Yes,No,32,65
2017-01-02,Richmond,21.2,26.9,1.0,3.4,,SE,35.0,S,SE,13.0,20.0,77.0,61.0,1010.0,1011.0,8.0,8.0,22.6,24.5,No,No,32,65
2017-01-02,Sydney,21.2,26.3,0.4,3.4,3.5,S,56.0,SSW,SSE,26.0,28.0,71.0,54.0,1009.9,1011.8,7.0,5.0,22.1,24.8,No,Yes,32,65
2017-01-02,SydneyAirport,20.9,24.9,1.0,3.4,3.5,SSW,67.0,SSW,S,37.0,33.0,80.0,74.0,1009.9,1012.0,7.0,5.0,21.5,22.7,No,Yes,32,65
2017-01-02,WaggaWagga,14.3,32.7,14.0,39.4,,SW,41.0,SW,SW,11.0,17.0,66.0,26.0,1010.6,1008.7,,,18.9,30.6,Yes,No,32,65
2017-01-02,Williamtown,20.7,25.7,28.4,,,SSE,48.0,SSW,SSE,31.0,33.0,91.0,73.0,1008.6,1011.0,8.0,8.0,21.8,24.3,Yes,No,32,65
2017-01-02,Wollongong,20.2,22.7,0.8,,,SSW,54.0,SSW,S,31.0,15.0,78.0,78.0,1010.6,1012.1,7.0,8.0,20.6,20.9,No,Yes,32,65
2017-01-02,Canberra,15.7,29.9,0.0,,,SE,43.0,NE,S,9.0,13.0,73.0,33.0,1009.2,1008.3,3.0,8.0,19.6,27.7,No,No,32,65
2017-01-02,Tuggeranong,14.0,28.6,0.0,,,SSE,43.0,W,SSW,2.0,17.0,65.0,36.0,1009.0,1008.1,,,19.8,27.7,No,No,32,65
2017-01-02,MountGinini,9.1,20.1,0.0,,,ESE,30.0,W,ESE,7.0,4.0,71.0,52.0,,,,,13.7,18.6,No,No,32,65
2017-01-02,Ballarat,10.4,19.8,1.6,,,S,44.0,SSW,S,17.0,30.0,99.0,59.0,1016.4,1017.3,8.0,2.0,11.1,18.3,Yes,No,32,65
2017-01-02,Bendigo,14.4,26.0,0.0,,,SSE,48.0,S,SSE,17.0,19.0,59.0,35.0,1014.8,1014.5,2.0,,16.8,25.3,No,No,32,65
2017-01-02,Sale,14.6,22.8,1.0,,,WSW,44.0,W,WSW,24.0,28.0,81.0,58.0,1014.9,1016.2,8.0,7.0,15.9,21.6,No,No,32,65
2017-01-02,MelbourneAirport,12.9,19.3,2.0,3.0,1.2,S,46.0,SW,S,20.0,31.0,93.0,64.0,1016.9,1018.4,8.0,7.0,13.4,17.8,Yes,No,32,65
2017-01-02,Melbourne,14.8,17.8,0.4,3.0,1.2,SSW,39.0,W,S,9.0,19.0,83.0,73.0,1016.9,1018.9,8.0,7.0,15.3,16.3,No,No,32,65
2017-01-02,Mildura,14.2,31.1,0.0,12.0,13.2,SSE,43.0,SSE,SSE,24.0,20.0,57.0,25.0,1016.9,1014.7,0.0,0.0,17.4,28.8,No,No,32,65
2017-01-02,Nhil,13.3,26.3,0.0,,,S,46.0,S,S,28.0,26.0,71.0,36.0,1018.1,1017.0,,,14.8,24.7,No,No,32,65
2017-01-02,Portland,12.6,17.9,0.6,,,SSW,31.0,S,S,11.0,15.0,87.0,72.0,1019.7,1021.2,8.0,8.0,14.0,15.6,No,No,32,65
2017-01-02,Watsonia,13.8,17.3,1.6,3.0,1.2,W,37.0,W,WSW,7.0,19.0,100.0,74.0,1016.7,1018.6,8.0,7.0,14.5,16.8,Yes,No,32,65
2017-01-02,Dartmoor,12.7,20.7,0.8,,,S,37.0,S,S,13.0,19.0,91.0,57.0,1019.6,1020.4,,,14.6,18.8,No,No,32,65
2017-01-02,Brisbane,26.1,32.5,0.0,9.6,9.0,SE,33.0,NE,NE,9.0,15.0,61.0,58.0,1007.8,1004.9,5.0,6.0,30.9,30.4,No,Yes,32,65
2017-01-02,Cairns,25.5,33.4,1.0,,,SSE,31.0,NNW,SW,2.0,4.0,79.0,84.0,1005.5,1003.0,8.0,8.0,28.3,28.9,No,Yes,32,65
2017-01-02,GoldCoast,22.9,29.8,0.0,,,S,59.0,NNE,NNE,19.0,31.0,86.0,80.0,1008.1,1005.2,,,27.1,28.0,No,Yes,32,65
2017-01-02,Townsville,27.3,34.9,0.0,10.0,,SSW,46.0,NNW,ENE,9.0,13.0,70.0,60.0,1005.4,1002.0,8.0,3.0,29.8,31.7,No,No,32,65
2017-01-02,Adelaide,15.7,24.6,0.2,,,SSE,33.0,SE,ESE,15.0,17.0,59.0,42.0,1019.7,1018.4,,,18.2,23.6,No,No,32,65
2017-01-02,MountGambier,12.0,20.8,1.0,,,S,39.0,SSW,SSE,24.0,30.0,100.0,69.0,1019.8,1020.3,8.0,8.0,16.2,18.4,No,No,32,65
2017-01-02,Nuriootpa,13.5,24.3,0.0,7.0,11.8,S,41.0,SSE,S,22.0,20.0,64.0,40.0,1018.2,1017.1,5.0,,16.5,23.0,No,No,32,65
2017-01-02,Woomera,16.5,30.9,0.0,,,SSE,54.0,SE,SE,31.0,31.0,56.0,26.0,1016.3,1013.4,,,19.3,28.9,No,No,32,65
2017-01-02,Albany,12.0,24.0,0.0,,,,,SSW,,17.0,,65.0,,1018.6,1016.1,1.0,,21.6,,No,No,32,65
2017-01-02,Witchcliffe,12.4,32.2,0.0,,,SSE,30.0,ESE,SE,13.0,19.0,49.0,38.0,1015.5,1013.3,,,23.6,30.1,No,No,32,65
2017-01-02,PearceRAAF,16.9,37.6,0.0,,13.2,ENE,50.0,ENE,E,33.0,13.0,31.0,14.0,1013.2,1009.8,,,27.2,36.3,No,No,32,65
2017-01-02,PerthAirport,16.2,37.4,0.0,11.6,13.2,E,57.0,NE,ESE,20.0,20.0,29.0,12.0,1013.8,1010.0,0.0,0.0,28.1,37.0,No,No,32,65
2017-01-02,Perth,18.2,37.1,0.0,11.6,13.2,SSW,37.0,NE,SE,15.0,9.0,35.0,15.0,1013.8,1010.0,0.0,0.0,27.8,36.7,No,No,32,65
2017-01-02,SalmonGums,14.0,31.5,0.0,,,E,44.0,E,ENE,15.0,19.0,49.0,21.0,,,,,20.5,30.1,No,No,32,65
2017-01-02,Walpole,10.8,27.0,0.0,,,ENE,33.0,ENE,SE,15.0,20.0,65.0,61.0,1017.0,1014.5,,,21.0,25.1,No,No,32,65
2017-01-02,Hobart,14.3,19.6,34.8,20.2,8.6,SW,48.0,NE,ESE,6.0,26.0,61.0,67.0,1013.1,1014.9,5.0,5.0,18.4,17.0,Yes,No,32,65
2017-01-02,Launceston,14.8,26.6,0.0,,,SE,35.0,SE,ESE,20.0,9.0,61.0,37.0,,,,3.0,19.3,24.9,No,No,32,65
2017-01-02,AliceSprings,21.9,32.2,0.2,19.8,,SE,46.0,SE,SE,31.0,26.0,33.0,29.0,1008.9,1006.2,,5.0,26.4,30.6,No,No,32,65
2017-01-02,Darwin,23.5,30.4,109.8,,2.0,WSW,46.0,S,W,17.0,26.0,98.0,75.0,1002.0,999.9,8.0,7.0,24.3,28.9,Yes,Yes,32,65
2017-01-02,Katherine,23.2,31.0,69.0,,,NNW,28.0,NNE,NE,9.0,9.0,96.0,,1000.2,998.0,8.0,,25.5,,Yes,Yes,32,65
2017-01-02,Uluru,23.2,32.7,0.0,,,ESE,46.0,ESE,ESE,30.0,20.0,32.0,27.0,1010.3,1007.6,8.0,3.0,25.9,31.6,No,No,32,65
2017-01-03,Albury,13.7,32.0,0.0,,,SE,24.0,SSE,W,13.0,6.0,51.0,30.0,1018.5,1014.7,,,21.1,29.5,No,No,31,60
2017-01-03,BadgerysCreek,15.1,28.9,0.2,,,ESE,43.0,S,ESE,9.0,19.0,63.0,48.0,1018.6,1017.5,,,22.2,27.3,No,No,31,60
2017-01-03,Cobar,18.8,35.5,0.0,,,E,43.0,E,ESE,24.0,17.0,,,1012.9,1010.3,,,25.4,34.6,No,No,31,60
2017-01-03,CoffsHarbour,20.5,27.1,2.4,,,SSE,46.0,SSW,S,28.0,28.0,68.0,64.0,1016.0,1015.8,8.0,1.0,22.9,25.4,Yes,Yes,31,60
2017-01-03,Moree,18.9,36.0,0.0,,,NE,46.0,ESE,S,15.0,11.0,47.0,26.0,1012.4,1009.8,,3.0,26.6,33.7,No,No,31,60
2017-01-03,Newcastle,18.4,25.4,0.2,,,,,SW,,19.0,,73.0,,,,4.0,,23.0,,No,No,31,60
2017-01-03,NorahHead,19.3,24.4,0.0,,,SSW,37.0,SSW,S,26.0,30.0,89.0,74.0,1018.1,1017.9,,,20.2,23.8,No,No,31,60
2017-01-03,NorfolkIsland,19.4,26.1,0.0,74.8,,ENE,30.0,NE,E,15.0,11.0,66.0,67.0,1014.5,1013.7,6.0,8.0,23.4,23.6,No,Yes,31,60
2017-01-03,Penrith,17.6,28.7,0.0,,,ESE,43.0,S,ESE,9.0,15.0,62.0,46.0,,,,,22.0,26.9,No,Yes,31,60
2017-01-03,Richmond,16.6,28.9,0.2,2.2,,SE,46.0,S,ESE,13.0,24.0,62.0,45.0,1018.7,1017.2,8.0,8.0,21.5,27.7,No,No,31,60
2017-01-03,Sydney,18.5,26.6,2.6,6.2,8.8,SSE,48.0,S,SSE,19.0,19.0,66.0,60.0,1018.5,1018.3,7.0,7.0,21.9,25.4,Yes,Yes,31,60
2017-01-03,SydneyAirport,18.6,24.1,2.2,6.2,8.8,S,54.0,SSW,S,33.0,33.0,74.0,83.0,1018.5,1018.5,7.0,7.0,20.8,21.9,Yes,Yes,31,60
2017-01-03,WaggaWagga,16.9,32.0,0.0,11.2,,ENE,57.0,E,SSW,28.0,9.0,49.0,22.0,1017.5,1013.9,,,21.8,29.4,No,No,31,60
2017-01-03,Williamtown,17.2,26.1,0.2,,,SSE,48.0,SSW,SSE,31.0,30.0,73.0,65.0,1017.4,1017.5,,1.0,22.6,24.9,No,Yes,31,60
2017-01-03,Wollongong,17.6,22.5,5.0,,,S,46.0,SSW,S,28.0,33.0,70.0,76.0,1019.0,1019.1,,8.0,21.1,21.7,Yes,Yes,31,60
2017-01-03,Canberra,13.1,27.1,0.0,,,ENE,44.0,SE,ENE,17.0,28.0,53.0,39.0,1018.3,1016.2,4.0,1.0,19.3,24.5,No,No,31,60
2017-01-03,Tuggeranong,15.0,26.0,0.0,,,ENE,37.0,S,ENE,9.0,15.0,56.0,37.0,1018.1,1015.4,,,17.9,24.9,No,No,31,60
2017-01-03,MountGinini,4.9,18.1,0.0,,,ENE,33.0,ESE,ENE,6.0,13.0,94.0,59.0,,,,,10.5,17.4,No,No,31,60
2017-01-03,Ballarat,10.2,23.5,0.0,,,SSE,50.0,SE,SE,31.0,26.0,86.0,37.0,1020.3,1017.8,8.0,,12.4,22.7,No,No,31,60
2017-01-03,Bendigo,11.9,28.9,0.0,,,SSE,39.0,SE,ESE,20.0,20.0,59.0,27.0,1019.1,1015.7,,,17.2,27.6,No,No,31,60
2017-01-03,Sale,13.0,22.9,0.0,,,E,35.0,W,E,9.0,22.0,70.0,54.0,1022.1,1020.0,8.0,,15.7,22.0,No,No,31,60
2017-01-03,MelbourneAirport,13.3,21.2,0.6,4.0,9.0,SSE,39.0,S,SSE,17.0,20.0,65.0,55.0,1022.1,1019.4,7.0,1.0,15.5,19.9,No,No,31,60
2017-01-03,Melbourne,14.6,19.5,0.4,4.0,9.0,SSW,35.0,SE,SSW,9.0,15.0,69.0,61.0,1022.2,1020.0,7.0,1.0,16.1,18.6,No,No,31,60
